qa_id,P3_frozen,P4_repl2,same
conv-49_qa_72,Cannot answer,Cannot answer,True
conv-49_qa_73,next summer,next summer,True
conv-49_qa_74,last Tuesday,"17 December, 2023",False
conv-49_qa_75,Cannot answer,yesterday,False
conv-49_qa_76,"17 December, 2023",Cannot answer,False
conv-49_qa_77,Cannot answer,Cannot answer,True
conv-49_qa_78,"Extended fam, work friends",extended fam,False
conv-49_qa_79,Cannot answer,Cannot answer,True
conv-49_qa_8,Drawing,Drawing,True
conv-49_qa_80,Yesterday,"12:17 am on 10 January, 2024",False
conv-49_qa_81,Painting,Painting,True
conv-49_qa_82,Yoga,Yoga,True
conv-49_qa_83,Cannot answer,Cannot answer,True
conv-49_qa_84,A friend gave him a painting that inspired him.,A friend gave him a painting that inspired him.,True
conv-49_qa_85,painting,painting,True
conv-49_qa_86,Cannot answer,Cannot answer,True
conv-49_qa_87,Jasper,Jasper,True
conv-49_qa_88,"fresh air, peacefulness and a cozy cabin surrounded by mount","fresh air, peacefulness and a cozy cabin surrounded by mount",True
conv-49_qa_89,Reducing soda and candy intake.,Reducing soda and candy intake.,True
conv-49_qa_9,Last weekend,Last weekend,True
conv-49_qa_90,Cannot answer,Cannot answer,True
conv-49_qa_91,flavored seltzer water and dark chocolate,flavored seltzer water and dark chocolate with high cocoa co,False
conv-49_qa_92,The self-checkout machines were all broken.,The self-checkout machines were all broken.,True
conv-49_qa_93,The Great Gatsby,Cannot answer,False
conv-49_qa_94,flavored seltzer water,flavored seltzer water,True
conv-49_qa_95,It tracks my progress really well and serves as a constant r,It tracks my progress really well and serves as a constant r,True
conv-49_qa_96,Cannot answer,strength and resilience,False
conv-49_qa_97,Cannot answer,Cannot answer,True
conv-49_qa_98,progress,progress,True
conv-49_qa_99,a dream interpretation book,a dream interpretation book,True
conv-50_qa_0,Cannot answer,Cannot answer,True
conv-50_qa_1,Cannot answer,Cannot answer,True
conv-50_qa_10,Cannot answer,Cannot answer,True
conv-50_qa_100,at my mansion,at my mansion,True
conv-50_qa_101,a podcast,a podcast,True
conv-50_qa_102,Miami,Miami,True
conv-50_qa_103,Cannot answer,Cannot answer,True
conv-50_qa_104,Because it gives it a unique look and goes with his style.,Because it gives it a unique look and goes with his style.,True
conv-50_qa_105,purple,purple,True
conv-50_qa_106,San Francisco,San Francisco,True
conv-50_qa_107,Proud,Proud,True
conv-50_qa_108,Cannot answer,Cannot answer,True
conv-50_qa_109,exploring and growing his brand,exploring and growing his brand,True
conv-50_qa_11,flooded place and car accident,"flooded place, car accident",False
conv-50_qa_110,Cannot answer,Cannot answer,True
conv-50_qa_111,Cannot answer,Cannot answer,True
conv-50_qa_112,It's so satisfying.,makes all the hard work worth it,False
conv-50_qa_113,Cannot answer,Cannot answer,True
conv-50_qa_114,California Love,California Love,True
conv-50_qa_115,Cannot answer,Cannot answer,True
conv-50_qa_116,Ford Mustang,Ford Mustang,True
conv-50_qa_117,Seeing the transformation and bringing them back to life.,Seeing the end result and knowing that they did it together.,False
conv-50_qa_118,Cannot answer,hard work and determination,False
conv-50_qa_119,Therapy,Therapy,True
conv-50_qa_12,Cannot answer,Cannot answer,True
conv-50_qa_120,Open a shop and work on classic cars.,Open a shop and work on classic cars.,True
conv-50_qa_121,A new Ferrari,A new Ferrari,True
conv-50_qa_122,The Fireworks,The Fireworks,True
conv-50_qa_123,"He reminds himself why he's passionate, relies on helpful pe","He reminds himself why he's passionate about his goals, reli",False
conv-50_qa_124,fixing up things,fixing up things,True
conv-50_qa_125,Cannot answer,Cannot answer,True
conv-50_qa_126,Shibuya Crossing,Shibuya Crossing,True
conv-50_qa_127,Shinjuku,Shinjuku,True
conv-50_qa_128,Cannot answer,ramen,False
conv-50_qa_129,Performing and connecting with the crowd,Performing and connecting with the crowd,True
conv-50_qa_13,Cannot answer,Cannot answer,True
conv-50_qa_130,He takes it one day at a time.,He takes it one day at a time.,True
conv-50_qa_131,Some of the struggles that people go through.,Some of the struggles that people go through.,True
conv-50_qa_132,He says it's a way to capture struggles and feelings.,He describes it as capturing feelings from struggles people ,False
conv-50_qa_133,"Ever since I was ten, I've been fascinated with how machines",He was fascinated with how machines work after finding an ol,False
conv-50_qa_134,Cannot answer,Cannot answer,True
conv-50_qa_135,Paying attention to small details.,Paying attention to small details.,True
conv-50_qa_136,Cannot answer,Cannot answer,True
conv-50_qa_137,Cannot answer,Cannot answer,True
conv-50_qa_138,It was unreal.,It was a dream come true.,False
conv-50_qa_139,Cannot answer,Cannot answer,True
conv-50_qa_14,Cannot answer,"2:31 pm on 9 June, 2023",False
conv-50_qa_140,They both find their pursuits fulfilling and motivating.,They both find fulfillment in their pursuits.,False
conv-50_qa_141,Cannot answer,Cannot answer,True
conv-50_qa_142,Threw a small party for his new album.,He threw a small party for his new album.,False
conv-50_qa_143,car mods,car mods,True
conv-50_qa_144,blogging on car mods,blogging on car mods,True
conv-50_qa_145,"music videos, concerts, and documentaries about artists and ","music videos, concerts, and documentaries",False
conv-50_qa_146,classic rock,classic rock,True
conv-50_qa_147,Cannot answer,Cannot answer,True
conv-50_qa_148,car mods,car mods,True
conv-50_qa_149,It inspired others to start their own DIY projects.,It inspired others to start their own DIY projects.,True
conv-50_qa_15,To relax and find peace.,To relax and recharge.,False
conv-50_qa_150,his old high school buddy,his old high school buddy,True
conv-50_qa_151,Cannot answer,Cannot answer,True
conv-50_qa_152,vintage camera,vintage camera,True
conv-50_qa_153,"nature - sunsets, beaches, waves","Nature - sunsets, beaches, waves.",False
conv-50_qa_154,fancy gala,fancy gala,True
conv-50_qa_155,"Their favorite artists, art, and how the power of music conn","Their favorite artists, art, and how the power of music conn",True
conv-50_qa_156,Cannot answer,Cannot answer,True
conv-50_qa_157,Its beauty helps us appreciate life when it's tough.,Its beauty helps us appreciate life when it's tough.,True
conv-50_qa_16,Cannot answer,Cannot answer,True
conv-50_qa_17,Cannot answer,Cannot answer,True
conv-50_qa_18,Cannot answer,Cannot answer,True
conv-50_qa_19,"concert, music thingy, show","concert, music thingy, similar streets, show",False
conv-50_qa_2,Cannot answer,Cannot answer,True
conv-50_qa_20,Cannot answer,Cannot answer,True
conv-50_qa_21,Yes,Yes,True
conv-50_qa_22,Yes,Yes,True
conv-50_qa_23,Fixing up things / working on cars,Fixing up things / working on cars,True
conv-50_qa_24,Yes,Yes,True
conv-50_qa_25,Last Friday,Last Friday,True
conv-50_qa_26,Cannot answer,"22 August, 2023",False
conv-50_qa_27,Cannot answer,Cannot answer,True
conv-50_qa_28,long drives in [this car],long drives in [this car],True
conv-50_qa_29,Cannot answer,Cannot answer,True
conv-50_qa_3,Aerosmith,Aerosmith,True
conv-50_qa_30,Classic rock,Classic rock,True
conv-50_qa_31,Cannot answer,Cannot answer,True
conv-50_qa_32,San Francisco,San Francisco,True
conv-50_qa_33,car workshop,going to a car workshop,False
conv-50_qa_34,Cannot answer,Cannot answer,True
conv-50_qa_35,Cannot answer,Cannot answer,True
conv-50_qa_36,11th,11th,True
conv-50_qa_37,Yes,Yes,True
conv-50_qa_38,Cannot answer,last night,False
conv-50_qa_39,Cannot answer,Cannot answer,True
conv-50_qa_4,Cannot answer,Cannot answer,True
conv-50_qa_40,Tupac and Dr. Dre,Tupac and Dr. Dre,True
conv-50_qa_41,Cannot answer,Cannot answer,True
conv-50_qa_42,Cannot answer,Cannot answer,True
conv-50_qa_43,Cannot answer,Cannot answer,True
conv-50_qa_44,Cannot answer,Cannot answer,True
conv-50_qa_45,Cannot answer,Cannot answer,True
conv-50_qa_46,fixing up things,fixing up things,True
conv-50_qa_47,Cannot answer,Cannot answer,True
conv-50_qa_48,Cannot answer,Cannot answer,True
conv-50_qa_49,They restored an old car.,They restored an old car.,True
conv-50_qa_5,Open a shop and work on classic cars.,To open a shop and work on classic cars; to learn auto engin,False
conv-50_qa_50,Cannot answer,Cannot answer,True
conv-50_qa_51,August last year,August last year,True
conv-50_qa_52,Cannot answer,Cannot answer,True
conv-50_qa_53,His friends and team.,Cannot answer,False
conv-50_qa_54,"Watching music videos, concerts, and documentaries about art","Watching music videos, concerts, and documentaries about art",True
conv-50_qa_55,"25 October, 2023","25 October, 2023",True
conv-50_qa_56,Cannot answer,Cannot answer,True
conv-50_qa_57,Cannot answer,Cannot answer,True
conv-50_qa_58,Finding an old car in a neighbor's garage at age ten and goi,Finding an old car in a neighbor's garage at age ten and goi,True
conv-50_qa_59,Cannot answer,Cannot answer,True
conv-50_qa_6,Classic cars,Classic cars,True
conv-50_qa_60,Cannot answer,Cannot answer,True
conv-50_qa_61,Cannot answer,Cannot answer,True
conv-50_qa_62,Cannot answer,Cannot answer,True
conv-50_qa_63,Cannot answer,Cannot answer,True
conv-50_qa_64,"road trip, card-night, regular walks in the park","road trip, card-night, regular walks in the park",True
conv-50_qa_65,Cannot answer,Cannot answer,True
conv-50_qa_66,Cannot answer,Cannot answer,True
conv-50_qa_67,Boston,Boston,True
conv-50_qa_68,Cannot answer,Cannot answer,True
conv-50_qa_69,Cannot answer,Cannot answer,True
conv-50_qa_7,Cannot answer,Cannot answer,True
conv-50_qa_70,"17 November, 2023","17 November, 2023",True
conv-50_qa_71,Cannot answer,Cannot answer,True
conv-50_qa_72,Aerosmith,Aerosmith,True
conv-50_qa_73,Tokyo,Tokyo,True
conv-50_qa_74,Cannot answer,Cannot answer,True
conv-50_qa_75,opening his own car maintenance shop,car maintenance shop,False
conv-50_qa_76,All kinds of cars - from regular maintenance to full restora,All kinds of cars.,False
conv-50_qa_77,Cannot answer,a guitar,False
conv-50_qa_78,why I keep hustling as a musician,why he keeps hustling as a musician,False
conv-50_qa_79,Cannot answer,Cannot answer,True
conv-50_qa_8,Cannot answer,Cannot answer,True
conv-50_qa_80,Cannot answer,Cannot answer,True
conv-50_qa_81,his music gear and favorite microphone,his music gear and favorite microphone,True
conv-50_qa_82,car maintenance shop,car maintenance shop,True
conv-50_qa_83,Fixing up things.,Fixing up things.,True
conv-50_qa_84,Performing live,Performing live,True
conv-50_qa_85,exploring some parks,exploring some parks,True
conv-50_qa_86,Cannot answer,Cannot answer,True
conv-50_qa_87,Cruise around.,Cruise around.,True
conv-50_qa_88,Cannot answer,Cannot answer,True
conv-50_qa_89,Cannot answer,Cannot answer,True
conv-50_qa_9,Cannot answer,Cannot answer,True
conv-50_qa_90,Adding electronic elements to his songs gives them a fresh v,Adding electronic elements to his songs gives them a fresh v,True
conv-50_qa_91,Cannot answer,Cannot answer,True
conv-50_qa_92,Expand my brand worldwide and grow my fanbase.,Cannot answer,False
conv-50_qa_93,Keep at it and never forget your dreams!,Keep at it and never forget your dreams!,True
conv-50_qa_94,car mod workshop,car mod workshop,True
conv-50_qa_95,"Engine swaps, suspension modifications, and body modificatio",engine swaps and suspension modifications,False
conv-50_qa_96,Cannot answer,Cannot answer,True
conv-50_qa_97,small details,small details,True
conv-50_qa_98,Everyone was so into it when I played one of my songs and sa,Everyone was so into it when I played one of my songs and sa,True
conv-50_qa_99,At a music festival in Tokyo.,Cannot answer,False
