qa_id,category,question,gold_memory_ids,retrieved_memory_ids,hit1,hit5,hit10,rr
conv-44_qa_137,5,"What type of classes did Andrew start with his pups recently on 4 August, 2023?",D14:2,D22:22;D28:13;D25:3;D25:16;D15:18;D8:15;D21:2;D28:7;D9:11;D16:2,0,0,0,0.0
conv-44_qa_138,5,What is essential to keep the dogs looking good according to Andrew?,D17:4,D3:4;D28:15;D17:3;D3:12;D11:4;D17:4;D1:1;D27:2;D20:8;D31:13,0,0,1,0.16666666666666666
conv-44_qa_139,5,What did Audrey organize with the neighbors' cats?,D18:6,D22:22;D21:1;D25:24;D19:1;D10:11;D15:25;D18:8;D19:20;D1:15;D17:17,0,0,0,0.0
conv-44_qa_140,5,What did Andrew do to give his dogs extra comfort as the weather cooled down?,D18:10,D18:10;D22:22;D11:7;D1:1;D1:11;D6:7;D20:8;D31:13;D15:1;D9:18,1,1,1,1.0
conv-44_qa_141,5,How does Andrew describe the new beds for his dogs?,D18:12,D18:11;D18:10;D20:8;D1:1;D31:13;D15:1;D14:16;D1:3;D1:12;D20:2,0,0,0,0.0
conv-44_qa_142,5,How did Andrew calm down his dog after the leash incident?,D19:4,D24:4;D22:22;D15:35;D4:8;D1:1;D31:14;D19:3;D18:18;D11:5;D1:15,0,0,0,0.0
conv-44_qa_143,5,How often does Andrew take his dogs for walks?,D19:10,D14:24;D1:1;D20:12;D20:8;D31:13;D15:1;D19:9;D14:16;D15:32;D1:12,0,0,0,0.0
conv-44_qa_144,5,What kind of vegetables does Audrey take care of?,D19:20,D26:24;D3:24;D7:13;D5:16;D12:14;D6:16;D21:1;D7:7;D19:1;D25:19,0,0,0,0.0
conv-44_qa_145,5,What did Andrew learn from reading books about economic systems?,D20:25,D14:21;D22:22;D7:9;D20:23;D28:7;D26:7;D24:7;D20:24;D8:12;D3:4,0,0,0,0.0
conv-44_qa_146,5,What was the reason Andrew couldn't walk his dogs for a period of time?,D22:1,D22:1;D4:20;D6:14;D7:8;D8:9;D1:1;D3:6;D26:15;D6:6;D17:8,1,1,1,1.0
conv-44_qa_147,5,What type of jewelry does Andrew make?,D22:5,D15:18;D9:11;D15:20;D1:9;D8:19;D1:1;D6:3;D22:7;D1:12;D14:16,0,0,0,0.0
conv-44_qa_148,5,Why does Andrew make jewelry out of recycled objects?,D22:5,D22:6;D22:4;D22:5;D1:9;D1:1;D22:7;D14:16;D4:4;D8:5;D1:4,0,1,1,0.3333333333333333
conv-44_qa_149,5,What type of games do Andrew's dogs like to play at the park?,D23:14,D23:13;D15:18;D26:28;D24:12;D8:8;D31:17;D23:5;D9:11;D24:7;D14:30,0,0,0,0.0
conv-44_qa_150,5,What did Andrew make to thank his neighbors?,D23:2,D23:2;D22:22;D28:31;D13:5;D26:17;D16:15;D1:1;D17:25;D4:20;D27:17,1,1,1,1.0
conv-44_qa_151,5,How do Andrew's dogs react to snow?,D23:12,D27:10;D1:1;D20:8;D31:13;D15:1;D8:28;D23:12;D1:12;D20:2;D14:5,0,0,1,0.14285714285714285
conv-44_qa_152,5,How does Andrew describe his dogs' response to snow?,D23:12,D6:15;D6:16;D1:1;D20:8;D31:13;D15:1;D8:28;D14:16;D23:12;D1:12,0,0,1,0.1111111111111111
conv-44_qa_153,5,What kind of experiences are Audrey's cats the best companions for?,D23:24,D23:24;D31:13;D21:1;D25:24;D19:1;D15:25;D26:22;D19:13;D3:13;D13:6,1,1,1,1.0
conv-44_qa_154,5,What activity do Audrey and Buddy enjoy doing together?,D24:8,D19:14;D31:18;D12:29;D1:10;D10:6;D24:6;D2:16;D21:1;D17:27;D19:1,0,0,0,0.0
conv-44_qa_155,5,What type of drink did Andrew recently try at a new spot in town?,D25:3,D25:3;D13:29;D22:22;D3:11;D1:19;D3:7;D23:5;D2:29;D13:32;D4:22,1,1,1,1.0
conv-44_qa_156,5,Which type of pizza did Audrey suggest trying first to someone new to Italian cuisine?,D25:8,D9:17;D5:5;D22:22;D1:18;D20:12;D9:19;D16:11;D8:12;D10:15;D9:20,0,0,0,0.0
conv-44_qa_157,5,How often does Andrew meet up with other dog owners for tips and playdates?,D27:4,D27:4;D4:21;D27:3;D27:2;D3:5;D6:4;D2:8;D1:1;D27:5;D31:14,1,1,1,1.0
conv-47_qa_0,3,What are John's suspected health problems?,D1:27,D5:4;D26:4;D4:23;D13:3;D17:8;D6:9;D7:24;D25:3;D13:20;D7:26,0,0,0,0.0
conv-47_qa_1,2,"Which recreational activity was James pursuing on March 16, 2022?",D1:26,D8:24;D1:37;D4:16;D5:13;D14:19;D7:1;D2:29;D19:11;D16:16;D1:25,0,0,0,0.0
conv-47_qa_2,1,Which places or events have John and James planned to meet at?,D1:36;D21:15;D23:5;D23:6,D2:11;D3:5;D3:11;D13:4;D4:12;D1:37;D29:9;D23:3;D7:1;D19:11,0,0,0,0.0
conv-47_qa_3,1,Do both James and John have pets?,D1:12;D2:18,D31:8;D1:37;D7:1;D19:11;D1:25;D17:27;D28:29;D23:18;D22:16;D1:12,0,0,1,0.1
conv-47_qa_4,2,When did John resume playing drums in his adulthood?,D3:5,D24:15;D22:22;D3:3;D24:13;D1:15;D3:7;D8:20;D9:4;D15:12;D28:7,0,0,0,0.0
conv-47_qa_5,1,What are John and James' favorite games?,D3:11;D4:16,D26:9;D25:5;D1:37;D27:25;D7:1;D4:1;D19:11;D1:25;D28:26;D3:19,0,0,0,0.0
conv-47_qa_6,3,Does James live in Connecticut?,D5:1,D1:37;D7:1;D19:11;D1:25;D14:16;D17:27;D23:18;D22:16;D1:4;D18:20,0,0,0,0.0
conv-47_qa_7,3,In which state is the shelter from which James adopted the puppy?,D5:1,D2:1;D18:15;D18:14;D1:37;D24:2;D7:1;D5:1;D22:25;D19:11;D1:25,0,0,1,0.14285714285714285
conv-47_qa_8,1,How many pets does James have?,D1:12;D1:14;D5:1,D13:2;D1:37;D7:1;D19:11;D1:25;D14:16;D17:27;D28:29;D23:18;D22:16,0,0,0,0.0
conv-47_qa_9,1,What are the names of James's dogs?,D1:14;D5:1,D1:6;D31:20;D1:13;D7:17;D1:37;D31:13;D7:1;D19:11;D1:25;D1:7,0,0,0,0.0
conv-47_qa_10,2,When did James adopt Ned?,D5:1,D22:22;D21:4;D1:37;D7:1;D19:11;D21:3;D1:25;D17:27;D23:18;D1:15,0,0,0,0.0
conv-47_qa_11,2,"How was John feeling on April 10, 2022?",D6:7,D23:20;D23:15;D26:2;D10:6;D24:6;D13:20;D1:19;D2:19;D21:19;D19:1,0,0,0,0.0
conv-47_qa_12,3,Did James have a girlfriend during April 2022?,D6:6,D22:22;D1:37;D7:1;D19:11;D1:25;D17:27;D23:18;D1:15;D6:5;D9:4,0,0,0,0.0
conv-47_qa_13,2,When did James visit Italy?,D6:12,D22:22;D27:3;D6:13;D1:37;D7:1;D19:11;D1:25;D17:27;D16:11;D23:18,0,0,0,0.0
conv-47_qa_14,2,When did James buy himself a new adventure book?,D8:11,D22:22;D26:6;D23:9;D8:11;D19:11;D13:13;D2:1;D24:9;D23:8;D1:37,0,1,1,0.25
conv-47_qa_15,2,When did James start playing Civilization VI?,D8:29,D8:22;D27:24;D22:22;D22:5;D1:37;D7:1;D26:13;D19:11;D4:1;D1:25,0,0,0,0.0
conv-47_qa_16,3,What is the game with different colored cards that was John talking about with James?,D8:34,D8:34;D4:19;D1:37;D7:1;D27:12;D23:31;D19:11;D14:14;D1:25;D27:3,1,1,1,1.0
conv-47_qa_17,3,What is the board game where you have to find the imposter that John mentions to James?,D8:36,D31:4;D24:2;D23:3;D1:37;D7:1;D19:11;D17:17;D1:25;D27:3;D15:10,0,0,0,0.0
conv-47_qa_18,1,Which books has John recommended to James?,D14:10;D8:14,D17:10;D1:37;D7:1;D19:11;D1:25;D4:6;D17:27;D23:18;D27:16;D20:23,0,0,0,0.0
conv-47_qa_19,3,Was James feeling lonely before meeting Samantha?,D9:16,D16:6;D19:16;D29:8;D23:12;D1:37;D7:1;D27:13;D19:11;D1:25;D17:27,0,0,0,0.0
conv-47_qa_20,1,How many charity tournaments has John organized till date?,D10:2;D29:1,D14:11;D20:17;D14:22;D26:9;D26:19;D26:20;D26:19;D10:5;D10:3;D17:11,0,0,0,0.0
conv-47_qa_21,2,When did John first organize a charity tournament with his friends?,D10:2,D14:21;D22:22;D10:5;D10:11;D18:8;D10:4;D10:10;D4:3;D19:20;D1:15,0,0,0,0.0
conv-47_qa_22,1,Who or which organizations have been the beneficiaries of John's charity tournaments?,D10:10;D10:12;D29:1,D14:11;D21:11;D14:22;D10:5;D1:15;D1:14;D27:3;D10:10;D10:4;D11:12,0,0,1,0.125
conv-47_qa_23,2,When will John start his new job?,D13:5,D18:1;D1:3;D1:2;D17:3;D25:1;D13:4;D16:12;D15:13;D26:10;D1:6,0,0,0,0.0
conv-47_qa_24,1,What kind of games has James tried to develop?,D13:7;D1:4;D27:2,D26:9;D4:9;D1:37;D24:1;D7:1;D3:13;D17:8;D1:11;D4:1;D19:11,0,0,0,0.0
conv-47_qa_25,3,Are John and James fans of the same football team?,D13:12;D13:15,D27:13;D13:9;D1:37;D1:4;D7:1;D19:11;D1:25;D13:10;D17:27;D4:25,0,0,0,0.0
conv-47_qa_26,1,Which countries has James visited?,D16:9;D17:22;D6:12;D6:14,D6:14;D6:13;D28:6;D1:37;D7:1;D19:11;D1:25;D17:27;D23:18;D6:2,1,1,1,1.0
conv-47_qa_27,1,What kind of classes has James joined?,D13:6;D23:13,D28:13;D25:16;D26:9;D8:17;D1:37;D7:1;D3:13;D19:11;D1:25;D8:15,0,0,0,0.0
conv-47_qa_28,2,When did James volunteer at an organization?,D15:9,D22:22;D15:10;D1:37;D7:1;D19:11;D1:25;D25:8;D17:27;D23:18;D1:15,0,0,0,0.0
conv-47_qa_29,2,When did James depart for his trip to Canada?,D16:9,D22:22;D5:1;D21:3;D1:37;D11:4;D7:1;D19:11;D1:25;D17:27;D23:18,0,0,0,0.0
conv-47_qa_30,3,Which country did James book tickets for in July 2022?,D16:11;D16:9,D22:22;D16:13;D6:18;D17:22;D1:37;D7:1;D19:11;D1:25;D17:14;D17:27,0,0,0,0.0
conv-47_qa_31,2,How many days did James plan to spend on his trip in Canada?,D16:13;D16:9,D22:22;D5:1;D21:3;D20:17;D31:21;D1:37;D10:1;D25:1;D11:4;D7:1,0,0,0,0.0
conv-47_qa_32,2,"Where was James at on July 12, 2022?",D16:9,D16:13;D1:37;D7:1;D19:11;D1:25;D17:27;D23:18;D22:16;D18:19;D28:2,0,0,0,0.0
conv-47_qa_33,3,Did John and James study together?,D17:13,D22:22;D1:37;D7:1;D19:11;D1:25;D28:1;D17:27;D23:18;D1:15;D18:6,0,0,0,0.0
conv-47_qa_34,1,Which countries did James visit in July 2022?,D16:9;D17:22,D22:22;D6:13;D16:13;D29:9;D1:37;D7:1;D19:11;D1:25;D17:27;D16:11,0,0,0,0.0
conv-47_qa_35,3,What additional country did James visit during his trip to Canada?,D17:22,D22:22;D27:3;D5:1;D16:10;D21:3;D6:18;D17:22;D1:37;D11:4;D7:1,0,0,1,0.14285714285714285
conv-47_qa_36,3,Who is Jill?,D17:24,D17:25;D17:24;D1:1;D1:2;D1:3;D1:4;D1:5;D1:6;D1:7;D1:8,0,1,1,0.5
conv-47_qa_37,2,When did John spend time with his sister and dogs?,D17:28,D17:29;D17:28;D31:21;D8:23;D24:9;D22:22;D7:7;D24:8;D25:13;D9:10,0,1,1,0.5
conv-47_qa_38,1,What happened to John's job situation in 2022?,D18:1;D18:7;D4:36,D16:11;D6:8;D3:17;D28:1;D25:2;D22:21;D7:6;D15:13;D26:10;D1:6,0,0,0,0.0
conv-47_qa_39,2,When did John start his job in IT?,D18:1,D22:22;D13:4;D15:13;D8:13;D10:1;D26:10;D1:6;D1:15;D18:1;D9:6,0,0,1,0.1111111111111111
conv-47_qa_40,1,What kind of tricks do James's pets know?,D14:17;D14:23;D17:16;D2:17,D2:16;D30:22;D26:9;D19:9;D1:37;D6:19;D7:1;D3:13;D19:11;D1:25,0,0,0,0.0
conv-47_qa_41,2,When did James meet Samantha?,D19:12,D3:5;D19:16;D22:22;D29:8;D23:12;D1:37;D7:1;D19:11;D1:25;D17:27,0,0,0,0.0
conv-47_qa_42,2,When did James take his 3 dogs to the beach?,D19:12,D19:12;D22:22;D21:3;D21:4;D31:20;D1:37;D31:13;D7:1;D19:11;D1:25,1,1,1,1.0
conv-47_qa_43,2,When did John plan his next meeting with his siblings?,D20:17,D22:22;D21:5;D20:15;D20:14;D27:13;D20:17;D23:4;D1:15;D8:10;D9:4,0,0,1,0.16666666666666666
conv-47_qa_44,3,Why didn't John want to go to Starbucks?,D21:12;D21:14,D21:13;D21:14;D21:1;D21:4;D29:15;D7:10;D28:26;D31:6;D19:3;D25:8,0,1,1,0.5
conv-47_qa_45,1,What kind of beer does McGee's bar serve?,D21:15;D21:17;D23:3,D23:3;D29:10;D21:15;D29:11;D21:18;D21:16;D21:14;D3:13;D14:16;D29:12,1,1,1,1.0
conv-47_qa_46,2,When did John and James meet at McGee's bar?,D21:18,D29:10;D23:3;D3:5;D22:22;D29:11;D21:18;D21:15;D1:37;D7:1;D19:11,0,0,1,0.16666666666666666
conv-47_qa_47,2,When did James ask Samantha to be his girlfriend?,D23:1,D19:16;D22:22;D13:8;D29:8;D23:12;D1:1;D1:37;D7:1;D19:11;D1:25,0,0,0,0.0
conv-47_qa_48,2,"When did James, Samantha and John go to the baseball game together?",D23:5;D23:6,D23:5;D19:16;D22:22;D29:8;D28:11;D23:12;D1:37;D7:1;D19:11;D1:25,1,1,1,1.0
conv-47_qa_49,1,What gaming equipments did John buy or refurbish?,D20:9;D23:10;D23:8,D22:22;D23:9;D10:3;D15:7;D1:15;D20:10;D4:3;D9:4;D15:12;D26:2,0,0,0,0.0
conv-47_qa_50,2,When did James start taking cooking classes?,D23:13,D22:22;D28:13;D25:16;D8:15;D7:2;D8:17;D1:37;D29:8;D15:30;D7:1,0,0,0,0.0
conv-47_qa_51,1,Which new games did John start play during the course of the conversation with James?,D19:7;D24:1;D24:3;D30:14;D5:4;D8:20,D24:7;D5:5;D4:1;D13:5;D22:22;D4:24;D10:1;D26:9;D19:11;D4:19,0,0,0,0.0
conv-47_qa_52,2,When did John start working on his 2D Adventure mobile game?,D25:9,D25:14;D25:7;D25:8;D25:9;D22:22;D13:13;D28:11;D25:10;D1:11;D27:24,0,1,1,0.25
conv-47_qa_53,2,How long did it take for James to complete his Witcher-inspired game?,D27:2;D6:1,D9:4;D22:22;D9:3;D28:11;D22:4;D27:7;D1:3;D21:18;D1:4;D1:14,0,0,0,0.0
conv-47_qa_54,1,What kind of programming-related events has John hosted?,D27:1;D28:6,D1:17;D1:5;D29:9;D21:2;D3:13;D24:11;D9:5;D24:16;D30:22;D6:2,0,0,0,0.0
conv-47_qa_55,2,When did John and his programming friends host an online programming competition?,D27:1,D1:5;D21:2;D22:22;D18:19;D20:3;D28:11;D6:2;D1:10;D1:9;D20:1,0,0,0,0.0
conv-47_qa_56,1,Which of James's family members have visited him in the last year?,D17:28;D28:19,D6:14;D2:9;D6:12;D28:6;D1:37;D7:1;D19:11;D1:25;D6:16;D17:27,0,0,0,0.0
conv-47_qa_57,2,When did James' mother and her friend visit him?,D28:19,D28:20;D2:18;D22:22;D22:23;D28:19;D1:37;D7:1;D1:9;D19:11;D1:25,0,1,1,0.2
conv-47_qa_58,2,When did James try Cyberpunk 2077 game?,D28:27,D28:27;D26:10;D22:22;D23:17;D28:11;D1:37;D7:1;D19:11;D1:25;D27:3,1,1,1,1.0
conv-47_qa_59,2,When did John and his gaming friends organize the charity tournament?,D29:1,D22:22;D4:3;D5:3;D18:8;D10:5;D14:21;D29:2;D10:11;D10:3;D10:4,0,0,0,0.0
conv-47_qa_60,1,What games has John played with his friends at charity tournaments?,D10:4;D29:1;D29:3,D8:30;D14:22;D14:11;D27:25;D24:6;D5:3;D10:5;D8:31;D29:2;D3:20,0,0,0,0.0
conv-47_qa_61,2,What was James' big moment with Samantha in October 2023?,D29:10;D29:8,D19:16;D1:3;D29:8;D23:12;D1:37;D7:1;D19:11;D1:25;D5:11;D17:27,0,1,1,0.3333333333333333
conv-47_qa_62,2,How long did James and Samantha date for before deciding to move in together?,D19:14;D29:10;D29:8,D9:4;D11:9;D19:16;D22:22;D9:3;D29:8;D23:12;D26:9;D1:37;D7:1,0,0,1,0.16666666666666666
conv-47_qa_63,2,"When did James, his family and his dogs start on a road trip together?",D30:1,D11:4;D30:1;D5:9;D22:22;D17:3;D9:11;D1:2;D18:3;D5:11;D17:4,0,1,1,0.5
conv-47_qa_64,2,How long did John practice chess for before winning the chess tournament?,D17:1;D30:2;D30:4,D30:4;D9:4;D17:6;D22:22;D17:5;D9:3;D30:11;D17:8;D17:2;D30:10,1,1,1,1.0
conv-47_qa_65,2,When did James and his family visit Mark and Josh?,D31:1,D31:9;D31:1;D22:22;D1:37;D7:1;D16:18;D19:11;D1:25;D17:27;D16:11,0,1,1,0.5
conv-47_qa_66,2,When did John work with a game developer on a project?,D31:2,D31:2;D31:4;D22:22;D28:11;D15:6;D15:2;D25:18;D1:15;D25:13;D19:7,1,1,1,1.0
conv-47_qa_67,4,What programming languages has James worked with?,D1:8,D1:10;D1:9;D1:5;D31:3;D1:37;D21:2;D7:1;D19:11;D1:25;D4:10,0,0,0,0.0
conv-47_qa_68,4,What type of mobile application does James plan to build with John?,D1:14,D11:3;D15:18;D9:11;D15:20;D1:12;D1:11;D8:19;D6:3;D1:37;D25:8,0,0,0,0.0
conv-47_qa_69,4,How does James plan to make his dog-sitting app unique?,D1:16,D1:15;D1:13;D1:37;D31:14;D7:1;D1:14;D13:11;D19:11;D1:25;D10:17,0,0,0,0.0
conv-47_qa_70,4,What has John mostly found with the metal detector so far?,D2:12,D2:10;D13:6;D26:3;D26:2;D25:3;D2:7;D32:2;D1:8;D13:20;D1:11,0,0,0,0.0
conv-47_qa_71,4,What did James offer to do for John regarding pets?,D2:19,D22:22;D15:5;D21:5;D25:18;D21:13;D2:20;D14:17;D9:11;D1:37;D7:1,0,0,0,0.0
conv-47_qa_72,4,"What instrument is John learning to play as of 27 March, 2022?",D3:2;D3:3,D8:13;D21:10;D3:14;D21:11;D8:12;D3:2;D8:33;D21:9;D21:9;D8:17,0,0,1,0.16666666666666666
conv-47_qa_73,4,"How long has John been playing the drums as of 27 March, 2022?",D3:5,D24:15;D3:3;D1:1;D21:3;D3:4;D15:20;D28:1;D24:13;D4:1;D2:11,0,0,0,0.0
conv-47_qa_74,4,What game did John play in an intense tournament at the gaming convention in March 2022?,D3:11,D3:11;D3:9;D23:13;D22:22;D24:3;D4:2;D4:3;D30:4;D6:7;D28:11,1,1,1,1.0
conv-47_qa_75,4,What game was James playing in the online gaming tournament in April 2022?,D4:16,D4:3;D16:2;D4:2;D17:5;D16:1;D27:3;D29:2;D9:4;D28:22;D10:5,0,0,0,0.0
conv-47_qa_76,4,How does James communicate with his gaming team?,D4:14,D4:12;D4:13;D28:5;D27:13;D4:14;D1:37;D1:4;D7:1;D19:11;D27:12,0,1,1,0.2
conv-47_qa_77,4,What advice did James receive from the famous players he met at the tournament?,D4:12,D4:7;D22:22;D26:2;D12:5;D3:11;D27:3;D1:37;D7:1;D28:19;D19:11,0,0,0,0.0
conv-47_qa_78,4,What did James adopt in April 2022?,D5:1,D22:22;D1:37;D7:1;D19:11;D1:25;D17:27;D23:18;D1:15;D6:5;D9:4,0,0,0,0.0
conv-47_qa_79,4,What is the name of the pup that was adopted by James?,D5:1,D31:21;D24:2;D1:37;D5:1;D7:1;D19:11;D1:25;D31:2;D16:6;D17:27,0,1,1,0.25
conv-47_qa_80,4,Why did James embody the appearance of the game character from the woman he saw during a walk?,D6:6,D22:22;D6:6;D6:4;D28:11;D21:3;D27:10;D1:37;D28:32;D7:1;D19:11,0,1,1,0.5
conv-47_qa_81,4,What inspired James to create the game character in the virtual world?,D6:6,D6:4;D1:21;D27:19;D22:4;D6:7;D12:1;D6:2;D27:5;D27:3;D25:7,0,0,0,0.0
conv-47_qa_82,4,Which country did James visit in 2021?,D6:12,D22:22;D16:10;D6:18;D17:22;D1:37;D7:1;D19:11;D1:25;D17:27;D16:11,0,0,0,0.0
conv-47_qa_83,4,What impresses John about Japan?,D6:15,D1:15;D1:8;D1:6;D10:10;D9:13;D1:14;D13:20;D10:9;D21:19;D16:16,0,0,0,0.0
conv-47_qa_84,4,What kind of assignment was giving John a hard time at work?,D7:13,D7:13;D12:4;D9:14;D1:1;D3:13;D14:11;D14:1;D6:12;D2:18;D19:8,1,1,1,1.0
conv-47_qa_85,4,"What breed is Daisy, one of James' dogs?",D9:12,D31:20;D1:37;D14:18;D31:13;D7:1;D10:6;D19:11;D1:25;D9:12;D17:27,0,0,1,0.1111111111111111
conv-47_qa_86,4,What type of pizza is James' favorite?,D9:18,D9:17;D9:19;D9:20;D15:18;D9:11;D15:20;D8:19;D25:5;D6:3;D1:37,0,0,0,0.0
conv-47_qa_87,4,What type of pizza is John's favorite?,D9:19,D9:17;D9:19;D9:20;D15:18;D9:11;D15:20;D8:19;D25:5;D6:3;D27:25,0,1,1,0.5
conv-47_qa_88,4,"What did John organize with his friends on May 8, 2022?",D10:4,D22:22;D10:11;D18:8;D19:20;D1:15;D9:4;D28:6;D15:12;D28:7;D16:3,0,0,0,0.0
conv-47_qa_89,4,What did John and his friends do with the remaining money after helping the dog shelter?,D10:12,D10:10;D22:22;D10:12;D17:12;D27:2;D6:9;D31:14;D4:1;D13:14;D18:4,0,1,1,0.3333333333333333
conv-47_qa_90,4,What was the main goal of the money raised from the charity tournament organized by John and his friends in May 2022?,D10:10,D10:10;D10:4;D10:5;D14:21;D28:12;D11:9;D10:12;D6:15;D12:6;D29:3,1,1,1,1.0
conv-47_qa_91,4,What did the system John created help the charitable foundation with?,D11:5,D22:22;D11:1;D4:15;D1:15;D22:9;D8:20;D9:4;D15:12;D2:6;D7:9,0,0,0,0.0
conv-47_qa_92,4,What did John create for the charitable foundation that helped generate reports for analysis?,D11:3,D11:5;D11:1;D22:22;D23:2;D21:13;D11:6;D21:15;D8:5;D7:12;D1:15,0,0,0,0.0
conv-47_qa_93,4,What did John receive for achieving second place in the tournament?,D12:5;D12:6,D12:4;D22:22;D12:5;D9:14;D22:20;D10:4;D16:5;D26:2;D4:3;D25:8,0,1,1,0.3333333333333333
conv-47_qa_94,4,What project is James working on in his game design course?,D13:8,D25:13;D21:6;D15:16;D1:37;D7:1;D21:17;D19:11;D1:25;D27:3;D31:2,0,0,0,0.0
conv-47_qa_95,4,Who does James support in football matches?,D13:12,D22:16;D15:18;D26:7;D13:9;D1:37;D7:1;D19:11;D1:25;D13:10;D14:16,0,0,0,0.0
conv-47_qa_96,4,Which football club does John support?,D13:15,D27:12;D28:18;D13:12;D26:17;D13:9;D13:10;D14:16;D17:5;D1:4;D7:4,0,0,0,0.0
conv-47_qa_97,4,What disagreement do James and John have about their football teams?,D13:15,D13:9;D13:15;D1:37;D7:1;D19:11;D1:25;D13:10;D17:27;D23:18;D22:16,0,1,1,0.5
conv-47_qa_98,4,What is Max good at doing according to James?,D14:23,D10:1;D3:12;D1:37;D7:1;D19:11;D1:25;D27:13;D17:27;D23:18;D25:11,0,0,0,0.0
conv-47_qa_99,4,What is the main focus of the organization that James volunteered with?,D15:11,D15:10;D8:10;D15:11;D11:9;D1:37;D7:1;D19:11;D1:25;D1:11;D17:27,0,1,1,0.3333333333333333
conv-47_qa_100,4,Will there be an interview required to volunteer with the organization James volunteered for?,D15:15,D15:14;D15:10;D15:11;D1:37;D7:1;D19:11;D1:25;D25:8;D17:27;D23:18,0,0,0,0.0
conv-47_qa_101,4,"How did John relax in his free time on 9 July, 2022?",D16:8,D26:25;D22:22;D8:4;D21:11;D16:13;D15:29;D14:21;D1:1;D11:17;D6:2,0,0,0,0.0
conv-47_qa_102,4,What did James enjoy doing on cold winter days?,D16:9,D19:14;D31:18;D12:29;D16:9;D22:22;D1:10;D10:6;D2:16;D8:30;D8:29,0,1,1,0.25
conv-47_qa_103,4,"What new hobby did James become interested in on 9 July, 2022?",D16:5,D23:19;D22:22;D2:10;D29:29;D19:11;D16:13;D1:37;D7:1;D1:25;D16:11,0,0,0,0.0
conv-47_qa_104,4,Where did James plan to visit after Toronto?,D16:11,D16:10;D16:11;D22:22;D1:37;D7:1;D19:11;D1:25;D17:27;D23:18;D1:15,0,1,1,0.5
conv-47_qa_105,4,When did James plan to return from his trip to Toronto and Vancouver?,D16:13,D16:13;D1:16;D16:11;D22:22;D16:15;D16:10;D20:17;D1:37;D11:4;D7:1,1,1,1,1.0
conv-47_qa_106,4,What online game did John start playing recently for improving strategy?,D17:1,D27:24;D22:22;D8:29;D6:7;D28:11;D21:9;D10:5;D8:24;D17:2;D23:7,0,0,0,0.0
conv-47_qa_107,4,What made John leave his IT job?,D18:3,D21:7;D15:13;D26:10;D1:6;D18:1;D28:2;D10:13;D28:14;D14:12;D13:4,0,0,0,0.0
conv-47_qa_108,4,Which game tournaments does John plan to organize besides CS:GO?,D18:9,D18:8;D14:11;D10:4;D3:11;D14:22;D10:11;D18:7;D10:6;D8:24;D14:16,0,0,0,0.0
conv-47_qa_109,4,What happened to James's puppy during the recent visit to the clinic?,D18:16,D18:14;D18:15;D18:16;D13:1;D1:37;D7:1;D19:11;D1:25;D17:27;D16:11,0,1,1,0.3333333333333333
conv-47_qa_110,4,What game genre did John start exploring instead of shooters?,D19:3,D22:22;D14:7;D30:15;D19:3;D28:11;D8:13;D27:24;D8:13;D26:31;D1:13,0,1,1,0.25
conv-47_qa_111,4,"Which RPG game is John playing and enjoying on 10 August, 2022?",D19:7,D19:5;D23:20;D10:5;D5:4;D28:28;D27:13;D1:3;D27:23;D19:3;D17:2,0,0,0,0.0
conv-47_qa_112,4,"What aspect of ""The Witcher 3"" does John find immersive?",D19:7,D19:7;D2:11;D27:19;D1:4;D1:33;D1:35;D14:16;D5:12;D26:11;D1:4,1,1,1,1.0
conv-47_qa_113,4,Whose phone number did James receive during the beach outing?,D19:14,D19:12;D19:14;D22:22;D21:3;D12:16;D26:2;D1:37;D27:10;D7:1;D12:5,0,1,1,0.5
conv-47_qa_114,4,What is James planning to do after receiving Samantha's phone number?,D19:14,D19:14;D19:16;D29:8;D30:9;D23:12;D4:11;D24:13;D1:37;D27:10;D7:1,1,1,1,1.0
conv-47_qa_115,4,What is John organizing with his siblings?,D20:17,D20:17;D10:5;D21:5;D20:14;D28:13;D10:7;D21:3;D8:13;D12:11;D20:15,1,1,1,1.0
conv-47_qa_116,4,What type of beer does John not like?,D21:16,D26:5;D23:5;D9:11;D21:16;D15:18;D21:14;D15:20;D8:19;D6:3;D1:12,0,1,1,0.25
conv-47_qa_117,4,What were some difficulties James faced during the development of his game?,D22:7,D22:6;D27:7;D1:37;D7:1;D24:9;D19:11;D1:25;D27:3;D27:9;D13:6,0,0,0,0.0
conv-47_qa_118,4,What has John been teaching his siblings?,D22:10,D22:10;D9:6;D21:5;D20:14;D19:9;D20:17;D1:13;D9:9;D21:3;D8:13,1,1,1,1.0
conv-47_qa_119,4,What kind of programs are John's siblings making?,D22:12,D22:11;D21:5;D22:10;D20:14;D15:4;D8:13;D3:13;D20:17;D20:5;D14:21,0,0,0,0.0
conv-47_qa_120,4,Which company's headphones did John choose for gaming?,D23:10,D23:9;D22:22;D15:35;D23:8;D13:9;D28:24;D10:3;D14:4;D29:32;D15:10,0,0,0,0.0
conv-47_qa_121,4,What did James and Samantha discover they both enjoy at McGee's bar?,D23:3,D23:3;D29:10;D19:16;D22:22;D29:11;D17:3;D29:8;D21:18;D23:12;D21:15,1,1,1,1.0
