qa_id,sample_id,category,question,gold_memory_ids,gold_count
conv-44_qa_39,conv-44,1,What did Audrey get wtih having so many dogs?,"[""conv-44_session_2_D2:15"", ""conv-44_session_23_D23:18""]",2
conv-44_qa_40,conv-44,1,What is a good place for dogs to run around freely and meet new friends?,"[""conv-44_session_4_D4:25"", ""conv-44_session_14_D14:2"", ""conv-44_session_23_D23:10""]",3
conv-44_qa_41,conv-44,1,What are the breeds of Audrey's dogs?,"[""conv-44_session_19_D19:12"", ""conv-44_session_26_D26:13""]",2
conv-44_qa_42,conv-44,1,What technique is Audrey using to discipline her dogs?,"[""conv-44_session_6_D6:4"", ""conv-44_session_26_D26:5""]",2
conv-44_qa_43,conv-44,3,Which US state do Audrey and Andrew potentially live in?,"[""conv-44_session_11_D11:9""]",1
conv-44_qa_44,conv-44,3,Which national park could Audrey and Andrew be referring to in their conversations?,"[""conv-44_session_5_D5:8"", ""conv-44_session_11_D11:9""]",2
conv-44_qa_45,conv-44,2,"How many pets will Andrew have, as of December 2023?","[""conv-44_session_12_D12:1"", ""conv-44_session_24_D24:2"", ""conv-44_session_28_D28:6""]",3
conv-44_qa_46,conv-44,2,"How many pets did Andrew have, as of September 2023?","[""conv-44_session_12_D12:1"", ""conv-44_session_24_D24:2""]",2
conv-44_qa_47,conv-44,2,How many months passed between Andrew adopting Buddy and Scout,"[""conv-44_session_24_D24:2"", ""conv-44_session_28_D28:6""]",2
conv-44_qa_48,conv-44,1,What does Andrew view his pets as?,"[""conv-44_session_15_D15:14"", ""conv-44_session_28_D28:18""]",2
conv-44_qa_49,conv-44,1,What does Audrey view her pets as?,"[""conv-44_session_15_D15:15"", ""conv-44_session_23_D23:18""]",2
conv-44_qa_50,conv-44,1,What is a skill that Audrey learned to take care of her dogs?,"[""conv-44_session_16_D16:2"", ""conv-44_session_17_D17:4""]",2
conv-44_qa_51,conv-44,1,What items has Audrey bought or made for her dogs?,"[""conv-44_session_1_D1:2"", ""conv-44_session_9_D9:5"", ""conv-44_session_18_D18:10"", ""conv-44_session_24_D24:1""]",4
conv-44_qa_52,conv-44,3,What is something that Andrew could do to make birdwatching hobby to fit in his city schedule?,"[""conv-44_session_20_D20:5"", ""conv-44_session_20_D20:21"", ""conv-44_session_23_D23:1"", ""conv-44_session_1_D1:14""]",4
conv-44_qa_53,conv-44,3,What is a career that Andrew could potentially pursue with his love for animals and nature?,"[""conv-44_session_2_D2:18"", ""conv-44_session_3_D3:1"", ""conv-44_session_5_D5:7"", ""conv-44_session_8_D8:27""]",4
conv-44_qa_54,conv-44,1,What activity do Audrey's dogs like to do in the dog park?,"[""conv-44_session_4_D4:21"", ""conv-44_session_10_D10:7"", ""conv-44_session_13_D13:8"", ""conv-44_session_23_D23:14"", ""conv-44_session_27_D27:12""]",5
conv-44_qa_55,conv-44,2,When did Andrew make his dogs a fun indoor area?,"[""conv-44_session_28_D28:12""]",1
conv-44_qa_56,conv-44,1,Has Andrew moved into a new apartment for his dogs?,"[""conv-44_session_5_D5:5"", ""conv-44_session_28_D28:12""]",2
conv-44_qa_57,conv-44,2,When did Andrew adopt Scout?,"[""conv-44_session_28_D28:6""]",1
conv-44_qa_58,conv-44,2,"What did Audrey eat for dinner on October 24, 2023?","[""conv-44_session_25_D25:14""]",1
conv-44_qa_59,conv-44,2,"How long has it been since Andrew adopted his first pet, as of November 2023?","[""conv-44_session_12_D12:1""]",1
conv-44_qa_60,conv-44,1,How many dogs does Andrew have?,"[""conv-44_session_12_D12:1"", ""conv-44_session_24_D24:2"", ""conv-44_session_28_D28:6""]",3
conv-44_qa_61,conv-44,4,Which specific type of bird mesmerizes Andrew?,"[""conv-44_session_1_D1:16""]",1
conv-44_qa_62,conv-44,4,What did Andrew express missing about exploring nature trails with his family's dog?,"[""conv-44_session_2_D2:18""]",1
conv-44_qa_63,conv-44,4,What kind of pastries did Andrew and his girlfriend have at the cafe?,"[""conv-44_session_3_D3:17""]",1
conv-44_qa_64,conv-44,4,What kind of flowers does Audrey have a tattoo of?,"[""conv-44_session_3_D3:26""]",1
conv-44_qa_65,conv-44,4,What does Audrey do during dog playdates in the park?,"[""conv-44_session_4_D4:21""]",1
conv-44_qa_66,conv-44,4,What type of dog was Andrew looking to adopt based on his living space?,"[""conv-44_session_5_D5:3""]",1
conv-44_qa_67,conv-44,4,"Where does Andrew want to live to give their dog a large, open space to run around?","[""conv-44_session_5_D5:7""]",1
conv-44_qa_68,conv-44,4,Why did Audrey sign up for a workshop about bonding with pets?,"[""conv-44_session_6_D6:2""]",1
conv-44_qa_69,conv-44,4,How did Audrey hear about the workshop on bonding with pets?,"[""conv-44_session_6_D6:4""]",1
conv-44_qa_70,conv-44,4,What type of training was the workshop Audrey signed up for in May 2023?,"[""conv-44_session_6_D6:4""]",1
conv-44_qa_71,conv-44,4,How did Audrey describe she dog he met at the pet store?,"[""conv-44_session_6_D6:4""]",1
conv-44_qa_72,conv-44,4,Why did Audrey think positive reinforcement training is important for pets?,"[""conv-44_session_6_D6:12""]",1
conv-44_qa_73,conv-44,4,What challenge is Andrew facing in their search for a pet?,"[""conv-44_session_7_D7:8""]",1
conv-44_qa_74,conv-44,4,How does Andrew feel about their search for a pet-friendly place?,"[""conv-44_session_7_D7:8""]",1
conv-44_qa_75,conv-44,4,What outdoor activities does Andrew plan on trying after the rock climbing class?,"[""conv-44_session_8_D8:7""]",1
conv-44_qa_76,conv-44,4,How long does Audrey typically walk her dogs for?,"[""conv-44_session_8_D8:14""]",1
conv-44_qa_77,conv-44,4,"What did Audrey set up in the backyard for their dogs on June 26, 2023?","[""conv-44_session_9_D9:5""]",1
conv-44_qa_78,conv-44,4,"What did Audrey and her friends stumble across during a hike a few years back, as mentioned on June 26, 2023?","[""conv-44_session_9_D9:23""]",1
conv-44_qa_79,conv-44,4,"What is Audrey's favorite recipe that she shares with Andrew on 3 July, 2023?","[""conv-44_session_10_D10:13""]",1
conv-44_qa_80,conv-44,4,"What dish is one of Audrey's favorite dishes that includes garlic and is shared with Andrew on 3 July, 2023?","[""conv-44_session_10_D10:23""]",1
conv-44_qa_81,conv-44,4,"What did Andrew and his GF do on the Monday before July 24, 2023?","[""conv-44_session_13_D13:1""]",1
conv-44_qa_82,conv-44,4,What is the name of Audrey's childhood dog?,"[""conv-44_session_13_D13:8""]",1
conv-44_qa_83,conv-44,4,"What special memories does Audrey have with her childhood dog, Max?","[""conv-44_session_13_D13:10""]",1
conv-44_qa_84,conv-44,4,What are some of the personalities of Audrey's four fur babies?,"[""conv-44_session_13_D13:6""]",1
conv-44_qa_85,conv-44,4,"What type of classes did Audrey start with her pups recently on 4 August, 2023?","[""conv-44_session_14_D14:2""]",1
conv-44_qa_86,conv-44,4,How often does Audrey take her pups to the park for practice?,"[""conv-44_session_14_D14:4""]",1
conv-44_qa_87,conv-44,4,How long did the trail hike that Audrey went on with her pups take?,"[""conv-44_session_14_D14:8""]",1
conv-44_qa_88,conv-44,4,What advice did Audrey give to Andrew regarding grooming Toby?,"[""conv-44_session_16_D16:8""]",1
conv-44_qa_89,conv-44,4,What is essential to keep the dogs looking good according to Audrey?,"[""conv-44_session_17_D17:4""]",1
conv-44_qa_90,conv-44,4,What did Audrey organize with the neighbors' dogs?,"[""conv-44_session_18_D18:6""]",1
conv-44_qa_91,conv-44,4,What did Audrey do to give her dogs extra comfort as the weather cooled down?,"[""conv-44_session_18_D18:10""]",1
conv-44_qa_92,conv-44,4,How does Audrey describe the new beds for her dogs?,"[""conv-44_session_18_D18:12""]",1
conv-44_qa_93,conv-44,4,How did Audrey calm down her dog after the leash incident?,"[""conv-44_session_19_D19:4""]",1
conv-44_qa_94,conv-44,4,How often does Audrey take her dogs for walks?,"[""conv-44_session_19_D19:10""]",1
conv-44_qa_95,conv-44,4,What kind of flowers does Audrey take care of?,"[""conv-44_session_19_D19:20""]",1
conv-44_qa_96,conv-44,4,What did Andrew learn from reading books about ecological systems?,"[""conv-44_session_20_D20:25""]",1
conv-44_qa_97,conv-44,4,What did Andrew suggest as a way to reduce carbon footprint?,"[""conv-44_session_20_D20:33""]",1
conv-44_qa_98,conv-44,4,How does Andrew suggest helping the planet while also training the body?,"[""conv-44_session_20_D20:35""]",1
conv-44_qa_99,conv-44,4,"What did Audrey do with her pups over the weekend before 4th October, 2023?","[""conv-44_session_21_D21:2""]",1
conv-44_qa_100,conv-44,4,What was the reason Audrey couldn't walk her dogs for a period of time?,"[""conv-44_session_22_D22:1""]",1
conv-44_qa_101,conv-44,4,What type of jewelry does Audrey make?,"[""conv-44_session_22_D22:5""]",1
conv-44_qa_102,conv-44,4,Why does Audrey make jewelry out of recycled objects?,"[""conv-44_session_22_D22:5""]",1
conv-44_qa_103,conv-44,4,What organization does Audrey donate a portion of his profits to?,"[""conv-44_session_22_D22:7""]",1
conv-44_qa_104,conv-44,4,How does Audrey help out the animal shelter?,"[""conv-44_session_22_D22:9""]",1
conv-44_qa_105,conv-44,4,What type of games do Audrey's dogs like to play at the park?,"[""conv-44_session_23_D23:14""]",1
conv-44_qa_106,conv-44,4,What did Audrey make to thank her neighbors?,"[""conv-44_session_23_D23:2""]",1
conv-44_qa_107,conv-44,4,How do Audrey's dogs react to snow?,"[""conv-44_session_23_D23:12""]",1
conv-44_qa_108,conv-44,4,How does Audrey describe her dogs' response to snow?,"[""conv-44_session_23_D23:12""]",1
conv-44_qa_109,conv-44,4,What kind of experiences are Audrey's dogs the best companions for?,"[""conv-44_session_23_D23:24""]",1
conv-44_qa_110,conv-44,4,What activity do Andrew and Buddy enjoy doing together?,"[""conv-44_session_24_D24:8""]",1
conv-44_qa_111,conv-44,4,What do Andrew and Buddy like doing on walks?,"[""conv-44_session_24_D24:10""]",1
conv-44_qa_112,conv-44,4,What cuisine did Andrew recently try at a new spot in town?,"[""conv-44_session_25_D25:3""]",1
conv-44_qa_113,conv-44,4,Which type of sushi did Audrey suggest trying first to someone new to sushi?,"[""conv-44_session_25_D25:8""]",1
conv-44_qa_114,conv-44,4,What type of date is Andrew going on Sunday?,"[""conv-44_session_26_D26:20""]",1
conv-44_qa_115,conv-44,4,"What did Andrew and Audrey plan to do on the Saturday after October 28, 2023?","[""conv-44_session_26_D26:20""]",1
conv-44_qa_116,conv-44,4,What aspect of autumn does Andrew find beautiful?,"[""conv-44_session_26_D26:36""]",1
conv-44_qa_117,conv-44,4,What did Audrey do in November 2023 to better take care of her dogs?,"[""conv-44_session_27_D27:2""]",1
conv-44_qa_118,conv-44,4,How often does Audrey meet up with other dog owners for tips and playdates?,"[""conv-44_session_27_D27:4""]",1
conv-44_qa_119,conv-44,4,What did Audrey share to show ways to keep dogs active in the city?,"[""conv-44_session_27_D27:10""]",1
conv-44_qa_120,conv-44,4,What type of activities does Audrey suggest for mental stimulation of the dogs?,"[""conv-44_session_27_D27:14""]",1
conv-44_qa_121,conv-44,4,"What is Andrew planning to do with Scout, Toby, and Buddy?","[""conv-44_session_28_D28:10""]",1
conv-44_qa_122,conv-44,4,What did Andrew get for Scout to create a safe and fun space for them?,"[""conv-44_session_28_D28:12""]",1
conv-47_qa_0,conv-47,3,What are John's suspected health problems?,"[""conv-47_session_1_D1:27""]",1
conv-47_qa_1,conv-47,2,"Which recreational activity was James pursuing on March 16, 2022?","[""conv-47_session_1_D1:26""]",1
conv-47_qa_2,conv-47,1,Which places or events have John and James planned to meet at?,"[""conv-47_session_1_D1:36"", ""conv-47_session_21_D21:15"", ""conv-47_session_23_D23:5"", ""conv-47_session_23_D23:6""]",4
conv-47_qa_3,conv-47,1,Do both James and John have pets?,"[""conv-47_session_1_D1:12"", ""conv-47_session_2_D2:18""]",2
conv-47_qa_4,conv-47,2,When did John resume playing drums in his adulthood?,"[""conv-47_session_3_D3:5""]",1
conv-47_qa_5,conv-47,1,What are John and James' favorite games?,"[""conv-47_session_3_D3:11"", ""conv-47_session_4_D4:16""]",2
conv-47_qa_6,conv-47,3,Does James live in Connecticut?,"[""conv-47_session_5_D5:1""]",1
conv-47_qa_7,conv-47,3,In which state is the shelter from which James adopted the puppy?,"[""conv-47_session_5_D5:1""]",1
conv-47_qa_8,conv-47,1,How many pets does James have?,"[""conv-47_session_1_D1:12"", ""conv-47_session_1_D1:14"", ""conv-47_session_5_D5:1""]",3
conv-47_qa_9,conv-47,1,What are the names of James's dogs?,"[""conv-47_session_1_D1:14"", ""conv-47_session_5_D5:1""]",2
conv-47_qa_10,conv-47,2,When did James adopt Ned?,"[""conv-47_session_5_D5:1""]",1
conv-47_qa_11,conv-47,2,"How was John feeling on April 10, 2022?","[""conv-47_session_6_D6:7""]",1
conv-47_qa_12,conv-47,3,Did James have a girlfriend during April 2022?,"[""conv-47_session_6_D6:6""]",1
conv-47_qa_13,conv-47,2,When did James visit Italy?,"[""conv-47_session_6_D6:12""]",1
conv-47_qa_14,conv-47,2,When did James buy himself a new adventure book?,"[""conv-47_session_8_D8:11""]",1
conv-47_qa_15,conv-47,2,When did James start playing Civilization VI?,"[""conv-47_session_8_D8:29""]",1
conv-47_qa_16,conv-47,3,What is the game with different colored cards that was John talking about with James?,"[""conv-47_session_8_D8:34""]",1
conv-47_qa_17,conv-47,3,What is the board game where you have to find the imposter that John mentions to James?,"[""conv-47_session_8_D8:36""]",1
conv-47_qa_18,conv-47,1,Which books has John recommended to James?,"[""conv-47_session_8_D8:14"", ""conv-47_session_14_D14:10""]",2
conv-47_qa_19,conv-47,3,Was James feeling lonely before meeting Samantha?,"[""conv-47_session_9_D9:16""]",1
conv-47_qa_20,conv-47,1,How many charity tournaments has John organized till date?,"[""conv-47_session_10_D10:2"", ""conv-47_session_29_D29:1""]",2
conv-47_qa_21,conv-47,2,When did John first organize a charity tournament with his friends?,"[""conv-47_session_10_D10:2""]",1
conv-47_qa_22,conv-47,1,Who or which organizations have been the beneficiaries of John's charity tournaments?,"[""conv-47_session_10_D10:10"", ""conv-47_session_10_D10:12"", ""conv-47_session_29_D29:1""]",3
conv-47_qa_23,conv-47,2,When will John start his new job?,"[""conv-47_session_13_D13:5""]",1
conv-47_qa_24,conv-47,1,What kind of games has James tried to develop?,"[""conv-47_session_13_D13:7"", ""conv-47_session_1_D1:4"", ""conv-47_session_27_D27:2""]",3
conv-47_qa_25,conv-47,3,Are John and James fans of the same football team?,"[""conv-47_session_13_D13:12"", ""conv-47_session_13_D13:15""]",2
conv-47_qa_26,conv-47,1,Which countries has James visited?,"[""conv-47_session_6_D6:12"", ""conv-47_session_6_D6:14"", ""conv-47_session_16_D16:9"", ""conv-47_session_17_D17:22""]",4
conv-47_qa_27,conv-47,1,What kind of classes has James joined?,"[""conv-47_session_13_D13:6"", ""conv-47_session_23_D23:13""]",2
conv-47_qa_28,conv-47,2,When did James volunteer at an organization?,"[""conv-47_session_15_D15:9""]",1
conv-47_qa_29,conv-47,2,When did James depart for his trip to Canada?,"[""conv-47_session_16_D16:9""]",1
conv-47_qa_30,conv-47,3,Which country did James book tickets for in July 2022?,"[""conv-47_session_16_D16:9"", ""conv-47_session_16_D16:11""]",2
conv-47_qa_31,conv-47,2,How many days did James plan to spend on his trip in Canada?,"[""conv-47_session_16_D16:9"", ""conv-47_session_16_D16:13""]",2
conv-47_qa_32,conv-47,2,"Where was James at on July 12, 2022?","[""conv-47_session_16_D16:9""]",1
conv-47_qa_33,conv-47,3,Did John and James study together?,"[""conv-47_session_17_D17:13""]",1
conv-47_qa_34,conv-47,1,Which countries did James visit in July 2022?,"[""conv-47_session_16_D16:9"", ""conv-47_session_17_D17:22""]",2
conv-47_qa_35,conv-47,3,What additional country did James visit during his trip to Canada?,"[""conv-47_session_17_D17:22""]",1
conv-47_qa_36,conv-47,3,Who is Jill?,"[""conv-47_session_17_D17:24""]",1
conv-47_qa_37,conv-47,2,When did John spend time with his sister and dogs?,"[""conv-47_session_17_D17:28""]",1
conv-47_qa_39,conv-47,2,When did John start his job in IT?,"[""conv-47_session_18_D18:1""]",1
conv-47_qa_40,conv-47,1,What kind of tricks do James's pets know?,"[""conv-47_session_2_D2:17"", ""conv-47_session_14_D14:17"", ""conv-47_session_14_D14:23"", ""conv-47_session_17_D17:16""]",4
conv-47_qa_41,conv-47,2,When did James meet Samantha?,"[""conv-47_session_19_D19:12""]",1
conv-47_qa_42,conv-47,2,When did James take his 3 dogs to the beach?,"[""conv-47_session_19_D19:12""]",1
conv-47_qa_43,conv-47,2,When did John plan his next meeting with his siblings?,"[""conv-47_session_20_D20:17""]",1
conv-47_qa_44,conv-47,3,Why didn't John want to go to Starbucks?,"[""conv-47_session_21_D21:12"", ""conv-47_session_21_D21:14""]",2
conv-47_qa_45,conv-47,1,What kind of beer does McGee's bar serve?,"[""conv-47_session_21_D21:15"", ""conv-47_session_21_D21:17"", ""conv-47_session_23_D23:3""]",3
conv-47_qa_46,conv-47,2,When did John and James meet at McGee's bar?,"[""conv-47_session_21_D21:18""]",1
conv-47_qa_47,conv-47,2,When did James ask Samantha to be his girlfriend?,"[""conv-47_session_23_D23:1""]",1
conv-47_qa_48,conv-47,2,"When did James, Samantha and John go to the baseball game together?","[""conv-47_session_23_D23:5"", ""conv-47_session_23_D23:6""]",2
conv-47_qa_49,conv-47,1,What gaming equipments did John buy or refurbish?,"[""conv-47_session_23_D23:8"", ""conv-47_session_23_D23:10"", ""conv-47_session_20_D20:9""]",3
conv-47_qa_50,conv-47,2,When did James start taking cooking classes?,"[""conv-47_session_23_D23:13""]",1
conv-47_qa_51,conv-47,1,Which new games did John start play during the course of the conversation with James?,"[""conv-47_session_5_D5:4"", ""conv-47_session_19_D19:7"", ""conv-47_session_30_D30:14"", ""conv-47_session_24_D24:1"", ""conv-47_session_24_D24:3"", ""conv-47_session_8_D8:20""]",6
conv-47_qa_52,conv-47,2,When did John start working on his 2D Adventure mobile game?,"[""conv-47_session_25_D25:9""]",1
conv-47_qa_53,conv-47,2,How long did it take for James to complete his Witcher-inspired game?,"[""conv-47_session_6_D6:1"", ""conv-47_session_27_D27:2""]",2
conv-47_qa_54,conv-47,1,What kind of programming-related events has John hosted?,"[""conv-47_session_27_D27:1"", ""conv-47_session_28_D28:6""]",2
conv-47_qa_55,conv-47,2,When did John and his programming friends host an online programming competition?,"[""conv-47_session_27_D27:1""]",1
conv-47_qa_56,conv-47,1,Which of James's family members have visited him in the last year?,"[""conv-47_session_17_D17:28"", ""conv-47_session_28_D28:19""]",2
conv-47_qa_57,conv-47,2,When did James' mother and her friend visit him?,"[""conv-47_session_28_D28:19""]",1
conv-47_qa_58,conv-47,2,When did James try Cyberpunk 2077 game?,"[""conv-47_session_28_D28:27""]",1
conv-47_qa_59,conv-47,2,When did John and his gaming friends organize the charity tournament?,"[""conv-47_session_29_D29:1""]",1
conv-47_qa_60,conv-47,1,What games has John played with his friends at charity tournaments?,"[""conv-47_session_10_D10:4"", ""conv-47_session_29_D29:1"", ""conv-47_session_29_D29:3""]",3
conv-47_qa_61,conv-47,2,What was James' big moment with Samantha in October 2023?,"[""conv-47_session_29_D29:8"", ""conv-47_session_29_D29:10""]",2
conv-47_qa_62,conv-47,2,How long did James and Samantha date for before deciding to move in together?,"[""conv-47_session_19_D19:14"", ""conv-47_session_29_D29:8"", ""conv-47_session_29_D29:10""]",3
conv-47_qa_63,conv-47,2,"When did James, his family and his dogs start on a road trip together?","[""conv-47_session_30_D30:1""]",1
conv-47_qa_64,conv-47,2,How long did John practice chess for before winning the chess tournament?,"[""conv-47_session_17_D17:1"", ""conv-47_session_30_D30:2"", ""conv-47_session_30_D30:4""]",3
conv-47_qa_65,conv-47,2,When did James and his family visit Mark and Josh?,"[""conv-47_session_31_D31:1""]",1
conv-47_qa_66,conv-47,2,When did John work with a game developer on a project?,"[""conv-47_session_31_D31:2""]",1
conv-47_qa_67,conv-47,4,What programming languages has James worked with?,"[""conv-47_session_1_D1:8""]",1
conv-47_qa_68,conv-47,4,What type of mobile application does James plan to build with John?,"[""conv-47_session_1_D1:14""]",1
conv-47_qa_69,conv-47,4,How does James plan to make his dog-sitting app unique?,"[""conv-47_session_1_D1:16""]",1
conv-47_qa_70,conv-47,4,What has John mostly found with the metal detector so far?,"[""conv-47_session_2_D2:12""]",1
conv-47_qa_71,conv-47,4,What did James offer to do for John regarding pets?,"[""conv-47_session_2_D2:19""]",1
conv-47_qa_72,conv-47,4,"What instrument is John learning to play as of 27 March, 2022?","[""conv-47_session_3_D3:2"", ""conv-47_session_3_D3:3""]",2
conv-47_qa_73,conv-47,4,"How long has John been playing the drums as of 27 March, 2022?","[""conv-47_session_3_D3:5""]",1
conv-47_qa_74,conv-47,4,What game did John play in an intense tournament at the gaming convention in March 2022?,"[""conv-47_session_3_D3:11""]",1
conv-47_qa_75,conv-47,4,What game was James playing in the online gaming tournament in April 2022?,"[""conv-47_session_4_D4:16""]",1
conv-47_qa_76,conv-47,4,How does James communicate with his gaming team?,"[""conv-47_session_4_D4:14""]",1
conv-47_qa_77,conv-47,4,What advice did James receive from the famous players he met at the tournament?,"[""conv-47_session_4_D4:12""]",1
conv-47_qa_78,conv-47,4,What did James adopt in April 2022?,"[""conv-47_session_5_D5:1""]",1
conv-47_qa_79,conv-47,4,What is the name of the pup that was adopted by James?,"[""conv-47_session_5_D5:1""]",1
conv-47_qa_80,conv-47,4,Why did James embody the appearance of the game character from the woman he saw during a walk?,"[""conv-47_session_6_D6:6""]",1
conv-47_qa_81,conv-47,4,What inspired James to create the game character in the virtual world?,"[""conv-47_session_6_D6:6""]",1
conv-47_qa_82,conv-47,4,Which country did James visit in 2021?,"[""conv-47_session_6_D6:12""]",1
conv-47_qa_83,conv-47,4,What impresses John about Japan?,"[""conv-47_session_6_D6:15""]",1
conv-47_qa_84,conv-47,4,What kind of assignment was giving John a hard time at work?,"[""conv-47_session_7_D7:13""]",1
conv-47_qa_85,conv-47,4,"What breed is Daisy, one of James' dogs?","[""conv-47_session_9_D9:12""]",1
conv-47_qa_86,conv-47,4,What type of pizza is James' favorite?,"[""conv-47_session_9_D9:18""]",1
conv-47_qa_87,conv-47,4,What type of pizza is John's favorite?,"[""conv-47_session_9_D9:19""]",1
conv-47_qa_88,conv-47,4,"What did John organize with his friends on May 8, 2022?","[""conv-47_session_10_D10:4""]",1
conv-47_qa_89,conv-47,4,What did John and his friends do with the remaining money after helping the dog shelter?,"[""conv-47_session_10_D10:12""]",1
conv-47_qa_90,conv-47,4,What was the main goal of the money raised from the charity tournament organized by John and his friends in May 2022?,"[""conv-47_session_10_D10:10""]",1
conv-47_qa_91,conv-47,4,What did the system John created help the charitable foundation with?,"[""conv-47_session_11_D11:5""]",1
conv-47_qa_92,conv-47,4,What did John create for the charitable foundation that helped generate reports for analysis?,"[""conv-47_session_11_D11:3""]",1
conv-47_qa_93,conv-47,4,What did John receive for achieving second place in the tournament?,"[""conv-47_session_12_D12:5"", ""conv-47_session_12_D12:6""]",2
conv-47_qa_94,conv-47,4,What project is James working on in his game design course?,"[""conv-47_session_13_D13:8""]",1
conv-47_qa_95,conv-47,4,Who does James support in football matches?,"[""conv-47_session_13_D13:12""]",1
conv-47_qa_96,conv-47,4,Which football club does John support?,"[""conv-47_session_13_D13:15""]",1
conv-47_qa_97,conv-47,4,What disagreement do James and John have about their football teams?,"[""conv-47_session_13_D13:15""]",1
conv-47_qa_98,conv-47,4,What is Max good at doing according to James?,"[""conv-47_session_14_D14:23""]",1
conv-47_qa_99,conv-47,4,What is the main focus of the organization that James volunteered with?,"[""conv-47_session_15_D15:11""]",1
conv-47_qa_100,conv-47,4,Will there be an interview required to volunteer with the organization James volunteered for?,"[""conv-47_session_15_D15:15""]",1
conv-47_qa_101,conv-47,4,"How did John relax in his free time on 9 July, 2022?","[""conv-47_session_16_D16:8""]",1
conv-47_qa_102,conv-47,4,What did James enjoy doing on cold winter days?,"[""conv-47_session_16_D16:9""]",1
conv-47_qa_103,conv-47,4,"What new hobby did James become interested in on 9 July, 2022?","[""conv-47_session_16_D16:5""]",1
conv-47_qa_104,conv-47,4,Where did James plan to visit after Toronto?,"[""conv-47_session_16_D16:11""]",1
conv-47_qa_105,conv-47,4,When did James plan to return from his trip to Toronto and Vancouver?,"[""conv-47_session_16_D16:13""]",1
conv-47_qa_106,conv-47,4,What online game did John start playing recently for improving strategy?,"[""conv-47_session_17_D17:1""]",1
conv-47_qa_107,conv-47,4,What made John leave his IT job?,"[""conv-47_session_18_D18:3""]",1
conv-47_qa_108,conv-47,4,Which game tournaments does John plan to organize besides CS:GO?,"[""conv-47_session_18_D18:9""]",1
conv-47_qa_109,conv-47,4,What happened to James's puppy during the recent visit to the clinic?,"[""conv-47_session_18_D18:16""]",1
conv-47_qa_110,conv-47,4,What game genre did John start exploring instead of shooters?,"[""conv-47_session_19_D19:3""]",1
conv-47_qa_111,conv-47,4,"Which RPG game is John playing and enjoying on 10 August, 2022?","[""conv-47_session_19_D19:7""]",1
conv-47_qa_112,conv-47,4,"What aspect of ""The Witcher 3"" does John find immersive?","[""conv-47_session_19_D19:7""]",1
conv-47_qa_113,conv-47,4,Whose phone number did James receive during the beach outing?,"[""conv-47_session_19_D19:14""]",1
conv-47_qa_114,conv-47,4,What is James planning to do after receiving Samantha's phone number?,"[""conv-47_session_19_D19:14""]",1
conv-47_qa_115,conv-47,4,What is John organizing with his siblings?,"[""conv-47_session_20_D20:17""]",1
conv-47_qa_116,conv-47,4,What type of beer does John not like?,"[""conv-47_session_21_D21:16""]",1
conv-47_qa_117,conv-47,4,What were some difficulties James faced during the development of his game?,"[""conv-47_session_22_D22:7""]",1
conv-47_qa_118,conv-47,4,What has John been teaching his siblings?,"[""conv-47_session_22_D22:10""]",1
conv-47_qa_119,conv-47,4,What kind of programs are John's siblings making?,"[""conv-47_session_22_D22:12""]",1
conv-47_qa_120,conv-47,4,Which company's headphones did John choose for gaming?,"[""conv-47_session_23_D23:10""]",1
conv-47_qa_121,conv-47,4,What did James and Samantha discover they both enjoy at McGee's bar?,"[""conv-47_session_23_D23:3""]",1
conv-47_qa_122,conv-47,4,How much does James pay per cooking class?,"[""conv-47_session_23_D23:15""]",1
conv-47_qa_123,conv-47,4,What did James learn to make in the cooking class besides omelette and meringue?,"[""conv-47_session_23_D23:15""]",1
conv-47_qa_124,conv-47,4,Why did James sign up for a cooking class?,"[""conv-47_session_23_D23:13""]",1
conv-47_qa_125,conv-47,4,What did James prepare for the first time in the cooking class?,"[""conv-47_session_23_D23:13""]",1
conv-47_qa_126,conv-47,4,What is the name of the board game John tried in September 2022?,"[""conv-47_session_24_D24:3""]",1
conv-47_qa_127,conv-47,4,Where does James get his ideas from?,"[""conv-47_session_24_D24:4""]",1
conv-47_qa_128,conv-47,4,What kind of dream did James have recently?,"[""conv-47_session_24_D24:8""]",1
conv-47_qa_129,conv-47,4,What kind of music does John like?,"[""conv-47_session_24_D24:13""]",1
conv-47_qa_130,conv-47,4,What instrument did James used to play when he was younger?,"[""conv-47_session_24_D24:14""]",1
conv-47_qa_131,conv-47,4,What did John use to play when he was younger to let off steam?,"[""conv-47_session_24_D24:15""]",1
conv-47_qa_132,conv-47,4,What career milestone did John achieve recently in September 2022?,"[""conv-47_session_25_D25:7""]",1
conv-47_qa_133,conv-47,4,What type of game is John's upcoming mobile game?,"[""conv-47_session_25_D25:9""]",1
conv-47_qa_134,conv-47,4,What does John do to stay informed and constantly learn about game design?,"[""conv-47_session_25_D25:13""]",1
conv-47_qa_135,conv-47,4,What kind of gig was John offered at the game dev non-profit organization?,"[""conv-47_session_26_D26:3""]",1
conv-47_qa_136,conv-47,4,What does John feel about starting the journey as a programming mentor for game developers?,"[""conv-47_session_26_D26:5""]",1
conv-47_qa_137,conv-47,4,What kind of games is James excited to play with his new video card?,"[""conv-47_session_26_D26:10""]",1
conv-47_qa_138,conv-47,4,What inspired James to create his game?,"[""conv-47_session_27_D27:6""]",1
